topology,links,nodes,flows,avg,into sol,into time,into gap,vrp sol,vrp time,vrp gap,lower sol,lower time,lower gap,relax sol,relax time,relax gap,ctr sol,ctr time,ctr gap,h sol,h time,h gap
zoo_74_1075,116,74,1075,3.590697674,37,4.2,0,,,,37,0.47,0,37,0.25,0,38,0.03,2.63%,44,0.009,15.91%
zoo_74_1332,116,74,1332,3.668168168,37,6.34,0,,,,37,0.55,0,37,0.31,0,37,0.04,0.00%,38,0.011,2.63%
zoo_75_282,110,65,282,4.617021277,37,2.63,0,,,,35,0.12,5.4,30,0.07,18.91,49,0.01,24.49%,44,0.003,15.91%
zoo_76_282,107,73,282,3.567375887,54,0.71,0,,,,54,0.1,0,35,0.06,35.18,58,0.01,6.90%,57,0.002,5.26%
zoo_76_563,125,74,563,5.01598579,40,103.63,0,,,,39,0.34,2.5,36,0.14,10,53,0.02,24.53%,52,0.007,23.08%
zoo_76_844,128,76,844,5.052132701,41,6.13,0,,,,40,0.43,2.43,38,0.24,7.31,53,0.03,22.64%,52,0.010,21.15%
zoo_76_846,115,76,846,4.093380615,40,21.84,0,,,,40,0.4,0,38,0.21,5,49,0.02,18.37%,52,0.008,23.08%
zoo_76_1125,128,76,1125,5.128888889,39,55.85,0,,,,39,1.3,0,38,0.32,2.56,49,0.04,20.41%,47,0.014,17.02%
zoo_76_1126,115,76,1126,4.192717584,38,5.2,0,,,,38,0.58,0,38,0.3,0,41,0.04,7.32%,43,0.011,11.63%
zoo_76_1406,129,76,1406,5.295874822,39,38.35,0,,,,39,0.83,0,38,0.41,2.56,49,0.05,20.41%,48,0.019,18.75%
zoo_78_199,107,42,199,3.015075377,50,0.38,0,,,,50,0.07,0,20,0.04,60,55,0.00,9.09%,61,0.001,18.03%
zoo_78_297,97,58,297,6.094276094,32,5.78,0,,,,31,0.25,3.12,23,0.08,28.12,40,0.01,20.00%,41,0.005,21.95%
zoo_78_397,139,56,397,3.156171285,63,1.85,0,,,,63,0.2,0,27,0.1,57.14,70,0.01,10.00%,77,0.003,18.18%
zoo_78_593,129,73,593,6.84148398,40,85.97,0,,,,40,0.39,0,34,0.21,15,54,0.03,25.93%,52,0.011,23.08%
zoo_78_595,152,63,595,3.36302521,63,4.76,0,,,,63,0.3,0,31,0.16,50.79,71,0.02,11.27%,77,0.005,18.18%
zoo_78_793,158,64,793,3.532156368,61,9.37,0,,,,61,0.39,0,32,0.23,47.54,69,0.02,11.59%,76,0.008,19.74%
zoo_78_889,137,77,889,7.053993251,43,106.48,0,,,,41,0.9,4.65,38,0.32,11.62,57,0.04,24.56%,60,0.017,28.33%
zoo_78_890,126,77,890,3.857303371,41,29.36,0,,,,41,0.42,0,38,0.23,7.31,53,0.03,22.64%,51,0.008,19.61%
zoo_78_891,128,78,891,3.848484848,43,30.75,0,,,,42,0.48,2.32,39,0.23,9.3,49,0.03,12.24%,52,0.008,17.31%
zoo_78_992,159,64,992,3.685483871,61,22.46,0,,,,61,0.54,0,32,0.3,47.54,69,0.03,11.59%,76,0.011,19.74%
zoo_78_1185,140,77,1185,7.165400844,44,133.49,0,,,,44,1,0,38,0.48,13.63,57,0.05,22.81%,58,0.024,24.14%
zoo_78_1482,142,78,1482,7.286099865,45,167.46,0,,,,45,2.93,0,39,0.6,13.33,56,0.07,19.64%,60,0.030,25.00%
zoo_79_328,102,64,328,3.417682927,43,1.41,0,,,,43,0.12,0,27,0.07,37.2,47,0.01,8.51%,52,0.003,17.31%
zoo_79_624,130,64,624,3.990384615,44,6.14,0,,,,44,0.31,0,30,0.16,31.81,55,0.02,20.00%,57,0.006,22.81%
zoo_80_312,110,54,312,4.141025641,38,2.1,0,,,,37,0.12,2.63,22,0.07,42.1,47,0.01,19.15%,47,0.003,19.15%
zoo_80_936,144,72,936,4.19017094,45,142.84,0,,,,45,0.88,0,36,0.26,20,55,0.03,18.18%,56,0.010,19.64%
zoo_80_1248,162,80,1248,4.342147436,52,127.71,0,,,,52,1.58,0,40,0.41,23.07,61,0.05,14.75%,63,0.013,17.46%
zoo_80_1560,163,80,1560,4.528205128,52,143.51,0,,,,52,1.07,0,40,0.53,23.07,60,0.07,13.33%,63,0.019,17.46%
zoo_82_656,137,79,656,3.585365854,56,5.9,0,,,,56,0.31,0,38,0.17,32.14,61,0.02,8.20%,66,0.006,15.15%
zoo_82_984,144,82,984,3.718495935,54,15.28,0,,,,54,0.5,0,41,0.26,24.07,61,0.04,11.48%,65,0.009,16.92%
